Source File,ENTITY1,RELATIONSHIP_NAME,ENTITY2,FOREIGN_KEY,REFERENCED_KEY,CARDINALITY_RULE,RELATIONSHIP_LINK,CARDINALITY_RULE_DESCRIPTION,,,,,,
Logical_02400_Control Transaction Macro View.csv,AccessPassword,is authenticated by,Operator,AccessPassword.OperatorID,Operator.OperatorID,many-to-one,AccessPassword->is authenticated by->Operator,AccessPassword->many-to-one->Operator,,,,,,
Logical_21000_Fresh Item Management Macro View.csv,ActionCode,refers to,ReturnLineItem,ReturnLineItem.ActionCode,ActionCode.ActionCode,one-to-many,ActionCode->refers to->ReturnLineItem,ActionCode->one-to-many->ReturnLineItem (1 to 0..*),,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,ActivityInterest,is engaged in by,PersonActivityInterest,PersonActivityInterest.ActivityInterestCode,ActivityInterest.ActivityInterestCode,one-to-zero-or-many,ActivityInterest->is engaged in by->PersonActivityInterest,ActivityInterest->one-to-zero-or-many->PersonActivityInterest,,,,,,
Logical_06320_Party Address and Contact View.csv,Address,is destination of,GeographicSegment,Address.GeographicSegmentID,GeographicSegment.GeographicSegmentID,many-to-one,Address->is destination of->GeographicSegment,Address->many-to-one->GeographicSegment,,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,Address,is a,GeophysicalLocationAddress,GeophysicalLocationAddress.AddressID,Address.AddressID,one-to-zero-or-one,Address->is a->GeophysicalLocationAddress,Address->one-to-zero-or-one->GeophysicalLocationAddress,,,,,,
Logical_06320_Party Address and Contact View.csv,Address,is part of,ISO3166-1Country,Address.ISO3166-1CountryCode,ISO3166-1Country.ISO3166-1CountryCode,many-to-one,Address->is part of->ISO3166-1Country,Address->many-to-one->ISO3166-1Country,,,,,,
Logical_10108_Enterprise Physical Locations View.csv,Address,is validated by,ISO3166-2CountrySubdivision,Address.ISO_3166-2CountrySubdivisionID,ISO3166-2CountrySubdivision.ISOCountrySubdivisionID,many-to-one,Address->is validated by->ISO3166-2CountrySubdivision,Address->many-to-one->ISO3166-2CountrySubdivision,,,,,,
Logical_06320_Party Address and Contact View.csv,Address,is destination of,ITUCountrySubDivision,Address.ITUCountrySubDivisionID,ITUCountrySubDivision.ITUCountrySubDivisionID,many-to-one,Address->is destination of->ITUCountrySubDivision,Address->many-to-one->ITUCountrySubDivision,,,,,,
Logical_07010_Customer Information_Extended View.csv,Address,is,Party,Address.PartyID,Party.PartyID,many-to-one,Address->is->Party,Address->many-to-one->Party,,,,,,
Logical_06330_Party Identification View.csv,Address,is captured from,PartyContactMethod,PartyContactMethod.AddressID,Address.AddressID,one-to-many,Address->is captured from->PartyContactMethod,Address->one-to-many->PartyContactMethod,,,,,,
Logical_10108_Enterprise Physical Locations View.csv,Address,is validated by,PostalCode,Address.PostalCodeID,PostalCode.PostalCodeID,many-to-one,Address->is validated by->PostalCode,Address->many-to-one->PostalCode,,,,,,
Logical_10108_Enterprise Physical Locations View.csv,Address,is used by,SiteContactMethod,SiteContactMethod.AddressID,Address.AddressID,one-to-many,Address->is used by->SiteContactMethod,Address->one-to-zero-or-more->SiteContactMethod,,,,,,
Logical_06310_Party Role View.csv,AdministrationCenter,contains,BusinessUnit,AdministrationCenter.BusinessUnitID,BusinessUnit.BusinessUnitID,many-to-one,AdministrationCenter->contains->BusinessUnit,AdministrationCenter->many-to-one->BusinessUnit,,,,,,
Logical_06320_Party Address and Contact View.csv,AdministrationCenter,is a,BusinessUnit,AdministrationCenter.AdministrationCenterID,BusinessUnit.BusinessUnitID,one-to-one,AdministrationCenter->is a->BusinessUnit,AdministrationCenter->one-to-one->BusinessUnit,,,,,,
Logical_02200_Transaction Macro View.csv,AdministrationCenter,is a,TypeCode,AdministrationCenter.TypeCode,TypeCode.TypeCode,many-to-one,AdministrationCenter->is a->TypeCode,AdministrationCenter->many-to-one->TypeCode,,,,,,
Logical_02100_Item Inventory Macro View.csv,AdvancedShipNoticeDocument,is_a,InventoryControlDocument,AdvancedShipNoticeDocument.InventoryControlDocumentID,InventoryControlDocument.InventoryControlDocumentID,one-to-one,AdvancedShipNoticeDocument->is_a->InventoryControlDocument,AdvancedShipNoticeDocument->one-to-one->InventoryControlDocument,,,,,,
Logical_01020_Item Description Enterprise View.csv,AggregateItem,is carried by,BusinessUnitGroupItem,BusinessUnitGroupItem.ItemID,AggregateItem.ItemID,zero-or-one-to-many,AggregateItem->is carried by->BusinessUnitGroupItem,AggregateItem->zero-or-one-to-many->BusinessUnitGroupItem,,,,,,
Logical_02311_Retail Transaction Item Kit View.csv,AggregateItem,is a collection of,ItemCollection,ItemCollection.ItemID,AggregateItem.ItemID,one-to-many,AggregateItem->is a collection of->ItemCollection,AggregateItem->one-to-many->ItemCollection,,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,AnnualIncomeRange,validates,CompositeDemographicSegment,CompositeDemographicSegment.AnnualIncomeRangeCode,AnnualIncomeRange.AnnualIncomeRangeCode,one-to-zero-or-many,AnnualIncomeRange->validates->CompositeDemographicSegment,AnnualIncomeRange->one-to-zero-or-many->CompositeDemographicSegment,,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,AnnualIncomeRange,validates,Person,Person.AnnualIncomeRangeCode,AnnualIncomeRange.AnnualIncomeRangeCode,one-to-zero-or-many,AnnualIncomeRange->validates->Person,AnnualIncomeRange->one-to-zero-or-many->Person,,,,,,
Logical_07030 - Customer Segment Independent Characteristics.csv,Anonymous,is described by,AnonymousAttributeValue,AnonymousAttributeValue.PartyID,Anonymous.PartyID,one-to-zero-or-many,Anonymous->is described by->AnonymousAttributeValue,Anonymous->one-to-zero-or-many->AnonymousAttributeValue,,,,,,
Logical_07010_Customer Information_Extended View.csv,AnonymousAttributeValue,is owned by,Anonymous,AnonymousAttributeValue.AnonymousID,Anonymous.AnonymousID,many-to-one,AnonymousAttributeValue->is owned by->Anonymous,AnonymousAttributeValue->many-to-one->Anonymous,,,,,,
