"Table Name","Shortened table name","Column Name","Column Description"
"mtech-daas-unified-data.dimensions.dept_grp_dim","dept_grp_dim","dept_grp_nbr","Department Group Number: 1-Owned Leased Marketplace, 2-Retail, 3-Owned, 4-Leased, 5-Marketplace, 6-Other, 7-Cost, 8-Workroom, 9-Expense, 10-Own Expense, 11-Non-Retail, 12-Restaurant-A numeric identifier that represents internal department account code groupings (a code that  represents group of department within <customer>'s Inc), and department numbers derived from profile IDs, to ensure consistent department identification for reporting purpose. Refer to the groupings in the Business logic"
"mtech-daas-unified-data.dimensions.dept_grp_dim","dept_grp_dim","dept_grp_desc","Department Group Description: Owned Leased Marketplace, Retail, Owned, Leased, Marketplace, Other, Cost, Workroom, Expense, Own Expense, Non-Retail,Restaurant-Description that represents the correct department groupings corresponding to the department group id."
"mtech-daas-unified-data.dimensions.dept_grp_dim","dept_grp_dim","dept_grp_abbr","Department Group Abbreviation: OLM, RET, OWN, LSE, OTH, CST, WRK, EXP, OWN EXP, NON RET,RSTRNT-Abbreviation that represents the correct department groupings corresponding to the department group id."
"mtech-daas-unified-data.dimensions.dept_grp_dim","dept_grp_dim","divn_nbr","Division Number-A number that identifies the <customer>'s Inc Operating Division."
"mtech-daas-unified-data.dimensions.dept_grp_dim","dept_grp_dim","dept_nbr","Department Number-A value that identifies the department in <customer>s, Inc."
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","divn_nbr","Division Number"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","oper_divn_nm","Operating Division Name"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","zl_divn_nbr","Legacy Division Number"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","divn_typ_cd","Division Type Code"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","active_ind","Active Indicator"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","corp_nbr","Corporate Number"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","divn_abbr","Division Abbreviation"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","divn_central_cd","Division Central Code"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","hdq_nbr","Headquarters Number"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","hdq_nm","Headquarters Name"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","corp_sort_nbr","Corporate Sort Number"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","dvg_nbr","Division Group Number"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","dvg_nm","Division Group Name"
"mtech-daas-unified-data.dimensions.operating_division_dim","operating_division_dim","dvg_abbr","Division Group Abbreviation"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_dt","Calendar Date"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_year","Calendar Year"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_month","Calendar Month"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_day","Calendar Day"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","month_nm","Calendar Month Name"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","day_nm","Calendar Day Name"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","julian_dt","Julian Date"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","julian_day","Julian Day"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_year","Fiscal AMC Year"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_period","Fiscal AMC Period"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_week","Fiscal AMC Week"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_day","Fiscal AMC Day"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_weeks_in_period","Number of weeks in the Fiscal AMC Period"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_weeks_in_year","Number of weeks in the Fiscal AMC Year"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_season","Fiscal AMC Season (1-Spring, 2-Fall)"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_quarter","Fiscal AMC Quarter"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_weeks_in_season","Number of weeks in the Fiscal AMC Season"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_weeks_in_quarter","Number of weeks in the Fiscal AMC Quarter"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_dt","AMC Date"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_day_of_year","Day Number within the Fiscal Year"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_week","Gregorian Week"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_week_start_dt","Start Date of the Week (Sunday)"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_week_end_dt","End Date of the Week (Saturday)"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_period_end_dt","End Date of the Fiscal AMC Period"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","dt_desc","Calendar Date Description"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","day_cnt","Relative Day Indicator (-1 = prior day, 0 = current day, 1 = future day)"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","week_cnt","Relative Week Indicator (-1 = prior week, 0 = current week, 1 = future week)"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","period_cnt","Relative Period Indicator (-1 = prior period, 0 = current period, 1 = future period)"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_quarter_cnt","Relative Quarter Indicator"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","season_cnt","Relative Season Indicator"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","year_cnt","Relative Year Indicator"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_period_start_dt","Begin Date of the Fiscal AMC Period"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_season_start_dt","Begin Date of the Fiscal AMC Season"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_year_start_dt","Begin Date of the Fiscal AMC Year"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_ly_same_day_dt","Calendar Date for the same AMC Period, AMC Week, AMC Day last year"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","leap_year_ind","Leap Year Indicator"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_period_name","Fiscal AMC Period Description"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_season_key","Concatenation of AMC Year + AMC Season"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_period_key","Concatenation of AMC Year + AMC Period"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_week_key","Concatenation of AMC Year + AMC Period + AMC Week"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","amc_week_nbr_in_year","Week Number in the AMC Fiscal Calendar"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_week_nbr_in_year","Week Number in the Gregorian Calendar"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_quarter_start_dt","Begin Date of the Fiscal AMC Quarter"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_quarter_end_dt","End Date of the Fiscal AMC Quarter"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_season_end_dt","End Date of the Fiscal AMC Season"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_year_end_dt","End Date of the Fiscal AMC Year"
"mtech-daas-unified-data.dimensions.date_dim","date_dim","greg_amc_ly_weekend_dt","Week Ending Date for this Week Last Year"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","loc_dim_id","Location Dimension ID"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","loc_nbr","Location Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","divn_nbr","Division Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","oper_divn_nm","Operating Division Name"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","chnl_id","Channel Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","chnl_desc","Channel Description"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","rgn_id","Region Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","rgn_desc","Region Description"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","dist_id","District Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","dist_desc","District Description"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","zl_str_nbr","Legacy Store Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","locn_typ_cd","Location Type Code"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","locn_typ_desc","Location Type_Desc"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","load_ts","Load Timestamp"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","zl_divn_nbr","Legacy Division Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","end_dt","End Date"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","create_dt","Create Date"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","start_dt","Start Date"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","locn_nm","Location Name"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","locn_sq_ft","Location Size (Sq Ft)"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","comp_str_flg","Comp Store Flag"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","fclty_nbr","Facility Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","fclty_nm","Facility Name"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","locn_stat_cd","Location Status Code"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","sub_director_id","Location Status Description"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","selling_loc_flg","Selling Location Flag"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","curr_use_flg","Current Use Flag"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","locn_abbr","Location Abbreviation"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","locn_shrt_nm","Location Short Name"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","prc_loc_nbr","Price Loc Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","prc_loc_desc","Price Loc Description"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","open_dt","Open Date"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","closed_dt","Close Date"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","pln_flg","Location Plannable Flag"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","divn_abbr","Division Abbreviation"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","alt_loc_dim_id","Alternate Location Dimension ID (for SWS)"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","alt_loc_nbr","Alternate Loc Number (for SWS)"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","alt_zl_str_nbr","Alternate ZL Store Number (for SWS)"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","alt_zl_divn_nbr","Alternate ZL Divn Number (for SWS)"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","alt_divn_nbr","Alternate Division Number (for SWS)"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","state_cd","State Code"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","state_desc","State Description"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","zip_cd","Zipcode"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","city_nm","City Name"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","cnty_cd","County Code"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","cnty_nm","County Name"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","cbsa_cd","Core Based Statistical Area Code"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","cbsa_nm","Core Based Statistical Area Name"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","dma_cd","Designated Marketing Area Code"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","dma_nm","Designated Marketing Area Name"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","disp_loc_nbr","Display Location Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","gdbtrbst_nbr","Good/Better/Best Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","gdbtrbst_desc","Good/Better/Best Description"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","metro_rgn_nbr","Metro Region Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","rvp_nbr","Regional Vice President Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","merch_str_typ_nbr","Merch Store Type Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","merch_str_typ_desc","Merch Store Type Description"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","resort_flg","Resort Flag"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","tourist_flg","Tourist Flag"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","oper_divn_nbr","Operating Division Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","alt_disp_loc_nbr","Alternate Disp Loc Number (for SWS)"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","p70_lvl_nbr","Pricing Region Level Hierarchy 70"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","sls_end_dt","End Date of Sales"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","physical_loc_cd","Physical Poolstock Location Code"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","open_dt_rsf","RSF Open Date"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","close_dt_rsf","RSF Close Date"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","corp_climate_nbr","Corporate  Climate Number"
"mtech-daas-unified-data.dimensions.location_dim","location_dim","climate_desc","Corporate Climate Descrption"
