r,start_labels,end_labels
[:IS_A],[ExchangeCompletedEvent],[ReturnExchangeEvent]
[:IS_A],[Price],[PriceConcept]
[:IS_A],[SubCategory],[Category]
[:IS_A],[GoodsReceivedEvent],[BuyingEvent]
[:IS_A],[PaymentProcessedEvent],[SalesEvent]
[:IS_A],[ContractLine],[Supplier]
[:IS_A],[ReturnApprovedEvent],[ReturnExchangeEvent]
[:IS_A],[PlanogramAnalysis],[MerchandisingAnalysis]
[:IS_A],[Household],[CustomerProfile]
[:IS_A],[WishlistItemAddedEvent],[CustomerInteractionEvent]
[:IS_A],[RefundMethod],[ReturnsAndExchanges]
[:IS_A],[PlanningSeason],[PlanningCalendar]
[:IS_A],[SafetyStock],[MerchandisePlanning]
[:IS_A],[Color],[ProductCharacteristics]
[:IS_A],[NonPeakPeriod],[TimePeriodType]
[:IS_A],[PriceOverrideEvent],[PricingEvent]
[:IS_A],[SaleVoidedEvent],[SalesEvent]
[:IS_A],[SellEvent],[SellEvents]
[:IS_A],[CustomerDevice],[CustomerProfile]
[:IS_A],[ReorderPoint],[MerchandisePlanning]
[:IS_A],[DeliveryMethod],[OrderFulfillment]
[:IS_A],[StoreLocation],[StoreOps]
[:IS_A],[POStatus],[ProcurementAndLogistics]
[:IS_A],[CustomerSearchEvent],[CustomerInteractionEvent]
[:IS_A],[Region],[Store]
[:IS_A],[ProductVariant],[ProductCharacteristics]
[:IS_A],[Location],[Store]
[:IS_A],[CheckoutAbandonedEvent],[CheckoutEvent]
[:IS_A],[PriceType],[Price]
[:IS_A],[CustomerSegment],[CustomerProfile]
[:IS_A],[LoyaltyTier],[LoyaltyProgram]
[:IS_A],[PriceZone],[Price]
[:IS_A],[PricingLinkCode],[PriceConcept]
[:IS_A],[SellThroughRate],[MerchandisingAnalysis]
[:IS_A],[StyleColor],[MerchandisePlanning]
[:IS_A],[InteractionOutcome],[SellEvent]
[:IS_A],[MarketingManager],[Persona]
[:IS_A],[ReceivingStatus],[ProcurementAndLogistics]
[:IS_A],[CustomerInteractionRule],[ValidationRules]
[:IS_A],[CustomerSearchInteraction],[CustomerInteraction]
[:IS_A],[PromotionType],[MarketingAndPromotion]
[:IS_A],[OrderModifiedEvent],[OrderEvent]
[:IS_A],[InvoiceReceivedEvent],[BuyingEvent]
[:IS_A],[OrderPicking],[OrderFulfillment]
[:IS_A],[SearchTerm],[CustomerInteraction]
[:IS_A],[LogisticsPartner],[ProcurementAndLogistics]
[:IS_A],[SocialCommerceChannel],[Channel]
[:IS_A],[RefundProcessedEvent],[ReturnExchangeEvent]
[:IS_A],[PaymentMethodSelectedEvent],[CheckoutEvent]
[:IS_A],[MarketingAnalysis],[MarketingAnalytics]
[:IS_A],[FitnessProfile],[CustomerProfile]
[:IS_A],[POSMaintenance],[StoreOps]
[:IS_A],[BackOrder],[Order]
[:IS_A],[OrderEvent],[SellEvents]
