Retail Operations Process Master ,,,,,,
L0 ,L1 ,L2 ,L3 ,L4 ,L5 ,L6 
Buy ,Product Data ,Manage Product Master Data,Merchandise Hierarchy,Create & Maintain Merchandising Hierarchy,Create Merchandising Hierarchy,
,,,,,Reclassify Merchandise Hierarchy,
,,,,,Maintain Merchandise Hierarchy,
,,,Organizational Hierarchy,Create & Maintain Organizational Hierarchy,Create Organizational Hierarchy,
,,,,,Maintain Reclass Organizational Hierarchy,
,,,Item Management ,Create new item ,Create Regular Items,
,,,,,Create Simple Pack Items,
,,,,,Create Complex Pack Items,
,,,,,Create Fashion Items,
,,,,,Create And Maintain Reference Items,
,,,,,Create Deposit Items,
,,,,,Create Transformable Items,
,,,,,Create Catchweight Items,
,,,,,New Item Via Induction,
,,,,Create & Maintain product attributes ,Define Product Attributes ,
,,,,,Maintain Product Attributes ,
,,,,Maintain Diffs,Create and Maintain Differentiators,
,,,,,Create and Maintain Diff Ratios,
,,,,,Create and Maintain Diff Groups,
,,,,,Create and Maintain Diff Ranges,
,,,,Create and Maintain Pack Templates,Create Pack Templates,
,,,,,Maintain Pack Templates,
,,,,Create and Maintain UDAs,Create and Maintain UDAs,
,,,,Maintain Items,Maintain Regular Items,
,,,,,Maintain Consignment And Concession Items,
,,,,,Maintain Simple Pack Items,
,,,,,Maintain Complex Pack Items,
,,,,,Maintain Fashion Items,
,,,,,Maintain Deposit Items,
,,,,,Maintain Transformable Items,
,,,,,Maintain Catchweight Items,
,,,,,Modify Item Via Induction,
,,,,,Reclassify Items,
,,,,Maintain Supplier Costing,Create and Maintain Manual Supplier Cost Change,
,,,,,Create and Maintain Bracket Costing,
,,,,,Create and Maintain EDI Supplier Cost Change,
,Strategic Planning,Merchandising Retail Insights,Dashboard Overview,Determine Marketing Analysis ,Sales Summary ,
,,,,,Performance Overview,
,,,,,Cross Channel Analysis ,
,,,,,New Remodeled Stores ,
,,,,,Top Bottom Report ,
,,,,,Vendor Performance ,
,,,,,Promotion Analysis ,
,,,,Determine Market Basket Analysis ,Customer Analysis ,
,,,,,Wholesale Sales Returns ,
,,,,,Demand Insights ,
,,,,,Pricing Elasticity ,
,,,,,Product Affinities ,
,,,,,Attribute Analysis ,
,,,,Determine Merchandising Analysis ,Sales Analysis ,
,,,,,Sales Overview ,
,,,,,Sales Overview by Location ,
,,,,,Sales Profit Contribution ,
,,,,,Markdown Analysis ,
,,,,,Inventory Analysis,
,Business Planning And Forecasting,Demand Forecasting,Demand Forecasting,Create Demand Forecast,Create and Maintain Demand Forecast,
,,,,Request Forecast,Request Forecast,
,,,,Assess and Tune Forecast,Update Alerts and Parameters,
,,,,,Assess and Tune Forecast,
,,Merchandise Financial Planning,Create and Adjust Merchandise Financial Plan,Create Merchandise Financial Plan,Create Top-Down Merchandise Financial Targets - Pre-Season,
,,,,Create Merchandise Financial Plan,Create Middle-Out Merchandise Financial Targets - Pre-Season,
,,,,Create Merchandise Financial Plan,Create Bottom-Up Merchandise Financial Plan - Pre-Season,
,,,,Adjust Merchandise Financial Plan,Adjust Middle-Out Merchandise Financial Targets - In-Season,
,,,,Adjust Merchandise Financial Plan,Adjust Bottom-Up Merchandise Financial Plan - In-Season,
,"Merchandise Planning, Optimization And Foundation",Range & Space ,"Develop & Manage Range Selection, Principles & Rules",Manage Clustering,Cluster Stores,
,,,,Manage Assortment,Define Master Assortment,
,,,,,Optimise Assortment,
,,,,,Manage non-Planogrammed Assortment,
,,,,,Create & Maintain Item Plan ,
,,,,,Create and Maintain Item Plan with Clearance Optimization Engine,
,,,,,Conduct Range Reset,
,,,,,Conduct Continuous Planning,
,,,,,Create and Maintain Size Profiles,
,,,,,Create Pre-Pack Configurations,
,,,,,Discontinue SKU,
,,,,,Temporarily Discontinue and Reintroduce SKU,
,,,,,Discontinue SKU with Replacement,
,,,,,List Products to non-Planogrammed Assortment,
,,,Develop & Manage Macro Space & Floor Plans,Manage Macro Space,Model & Optimise Macro Space,
,,,,,Create What If Macro Space Plan,
,,,,,Plan and Comply New or Existing Store Space,
,,,,,Plan New Store Layout,
,,,,,Reset Existing Store Layout,
,,,,,Compare Actual Store to Prototype or Like Store and Recommend Changes,
,,,,,Apply Macro Space (Floor Plans),
,,,Develop & Manage Micro Space Plans,Manage Micro Space,Manage Planogrammed Assortment,
,,,,,Manage Assignment of Sites to Assortment,
,,,Manage Range Operations & Delivery,Manage Publishing,Publish Planograms & Floor Plans,
,,Merchandise Management ,"Manage Price, Promotion, and Clearance Execution",Pricing ,Create and Maintain Regular Price Changes,
,,,,,Create Emergency Price Changes,
,,,,,Create and Maintain Clearance,
,,,,,Create and Maintain Regular and Vendor-Funded Clearance,
,,,,,Manage Pricing Groups,
,,,,Pricing Foundation Data,Create and  maintain Price Zones ,
,,,,,Conduct Location Zone Assignment ,
,,,,,Maintain Location Move,
,,,,,Create and maintain Pricing Reason Codes,
,,,,,Maintain Price Strategies Foundation Data,
,,,,,Create Price Guides,
,,,,,Create and maintain Pricing Link Codes,
,,,,,Define and maintain Pricing Threshold Information,
,,,,Markdown Optimization ,Manage Weekly Markdowns ,
,,,,Data and Business Rule Maintenance,Create Pricing Strategies (Rule-Based Pricing Tactics),
,,,,,Manage Business Rules,
,,,,,Maintain Pricing Strategies,
,,,,Optimize Regular Prices,Execute Competitive Price Comparison,
,,,,,Process Pricing Strategy Price Recommendations (Pricing Worksheets),
,,,,Promotions ,Create and Maintain Simple Promotions,
,,,,,Create and Maintain Complex Promotions,
,,,,,Create Emergency Promotion,
,,,,,Create and Maintain Promotion Events,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
