Domain,SubDomain,TableName,StorageLayer,Text
Customer,Customer_Master_Data,Customer,Gold,"Customer: Customer_Master_Data | Customer: Stores unique customer records | PK: Customer_ID (STR, PK) | Cols: Customer_ID (STR, PK), First_Name (STR), Last_Name (STR), DOB (DATE), Email (STR, Unique), Phone_Number (STR), Customer_Type_Id (INT, FK → Customer_Type), Customer_Status_Type_Id (INT, FK → Customer_Status), Contact_Method_Type_Id (INT, FK → Contact_Method_Type), Personality_Type_Id (INT, FK → Personality_Type), Education_Type_Id (INT, FK → Education_Type), Preference_Type_Id (INT, FK → Channel_Preferences), HomeOwner_Type_Id (INT, FK → Home_Ownership), Faith_Type_Id (INT, FK → Faith), Ethnicity_Type_Id (INT, FK → Ethnicity_Type), Marital_Status_Type_Id (INT, FK → Marital_Status_Type), Gender_Type_Id (INT, FK → Gender_Type), Price_Sensitivity_Id (INT, FK → Price_Sensitivity), Culture_Id (INT, FK → Customer_Culture), Fitness_Id (INT, FK → Customer_Fitness), Created_At (TS), Updated_At (TS)"
Customer,Customer_Master_Data,Customer_Address,Gold,"Customer: Customer_Master_Data | Customer_Address: Stores multiple addresses | PK: Address_ID (STR, PK) | Cols: Address_ID (STR, PK), Customer_ID (STR, FK → Customer), Address_Line1 (STR), Address_Line2 (STR), City (STR), State (STR), Postal_Code (STR), Country (STR), Address_Type (STR, e.g., Billing, Shipping), Created_At (TS), Updated_At (TS)"
Customer,Customer_Master_Data,Customer_Consent,Gold,"Customer: Customer_Master_Data | Customer_Consent: Stores consent preferences (marketing, third-party sharing, GDPR/CCPA compliance). | PK: Consent_ID (STR, PK) | Cols: Consent_ID (STR, PK), Customer_ID (STR, FK → Customer), Consent_Type (STR, e.g., Marketing, Data Sharing), Consent_Status (BOOL), Effective_Date (DATE), Expiration_Date (DATE)"
Customer,Customer_Master_Data,Customer_Type,Gold,"Customer: Customer_Master_Data | Customer_Type: Defines customer classifications (e.g., B2B, B2C). | PK: Customer_Type_ID (STR, PK) | Cols: Customer_Type_ID (STR, PK), Type_Name (STR, Unique), Description (STR), Created_At (TS), Updated_At (TS)"
Customer,CustomerAttributes,Customer_Status,Gold,"Customer: CustomerAttributes | Customer_Status: Defines customer status (e.g., Living, Deceased, Active). | PK: Customer_Status_Type_Id (INT, PK) | Cols: Customer_Status_Type_Id (INT, PK), Customer_Status_Type_Cd (STR, Unique), Customer_Status_Type_Name (STR), Row_Load_Dt (DATE), Last_Update_Dt (DATE), Source_System_Id (INT), Source_Key_Txt (STR)"
Customer,CustomerAttributes,Customer_Type,Gold,"Customer: CustomerAttributes | Customer_Type: Defines customer type (e.g., Shopper, Organization Customer). | PK: Customer_Type_Id (INT, PK) | Cols: Customer_Type_Id (INT, PK), Customer_Type_Cd (STR, Unique), Customer_Type_Name (STR), Row_Load_Dt (DATE), Last_Update_Dt (DATE), Source_System_Id (INT), Source_Key_Txt (STR)"
Customer,CustomerAttributes,Contact_Method_Type,Gold,"Customer: CustomerAttributes | Contact_Method_Type: Defines preferred contact methods (e.g., Email, Phone, Direct Mail). | PK: Contact_Method_Type_Id (INT, PK) | Cols: Contact_Method_Type_Id (INT, PK), Contact_Method_Type_Cd (STR, Unique), Contact_Method_Type_Name (STR), Row_Load_Dt (DATE), Last_Update_Dt (DATE), Source_System_Id (INT), Source_Key_Txt (STR)"
Customer,CustomerAttributes,Personality_Type,Gold,"Customer: CustomerAttributes | Personality_Type: Defines customer personality traits (e.g., Extrovert, Risk-Taker, Price-Sensitive). | PK: Personality_Type_Id (INT, PK) | Cols: Personality_Type_Id (INT, PK), Personality_Type_Cd (STR, Unique), Personality_Type_Name (STR), Row_Load_Dt (DATE), Last_Update_Dt (DATE), Source_System_Id (INT), Source_Key_Txt (STR)"
Customer,CustomerAttributes,Education_Type,Gold,"Customer: CustomerAttributes | Education_Type: Defines education levels (e.g., High School, Graduate, Doctoral). | PK: Education_Type_Id (INT, PK) | Cols: Education_Type_Id (INT, PK), Education_Type_Cd (STR, Unique), Education_Type_Name (STR), Row_Load_Dt (DATE), Last_Update_Dt (DATE), Source_System_Id (INT), Source_Key_Txt (STR)"
Customer,CustomerAttributes,Channel_Preferences,Gold,"Customer: CustomerAttributes | Channel_Preferences: Defines customer preferred shopping channels (e.g., Online, Mobile App, In-store). | PK: Preference_Type_Id (INT, PK) | Cols: Preference_Type_Id (INT, PK), Preference_Type_Cd (STR, Unique), Preference_Type_Name (STR), Row_Load_Dt (DATE), Last_Update_Dt (DATE), Source_System_Id (INT), Source_Key_Txt (STR)"
Customer,CustomerAttributes,Home_Ownership,Gold,"Customer: CustomerAttributes | Home_Ownership: Defines customer homeownership status (e.g., Sole Owner, Tenant). | PK: HomeOwner_Type_Id (INT, PK) | Cols: HomeOwner_Type_Id (INT, PK), HomeOwner_Type_Cd (STR, Unique), HomeOwner_Type_Name (STR), Row_Load_Dt (DATE), Last_Update_Dt (DATE), Source_System_Id (INT), Source_Key_Txt (STR)"
