eg_id|question|query_example
1|Look up customer details using customer ID|MATCH (c:Customer {customerId: customerId passed in user question}) RETURN c ...
2|Orders placed by a customer.|MATCH (c:Customer {customerId: customerId passed in user question})<-[:orderedBy]-(o:Order) RETURN o ORDER BY o.orderDate ...
3|Products in a Order.|MATCH (o:Order {orderId: orderId passed in user question})-[:includesOrderLine]->()-[:refersToProduct]->(p:Product) RETURN p.productName, p.productId ...
4|Orders associated with a store. |MATCH (s:Store {storeName: storeName passed in user question})<-[:PLACED_AT]-(o:Order) RETURN o ...
5|Orders within a start and end date.|MATCH (o:Order) WHERE o.orderDate >= date(startDate passed in user question) AND o.orderDate < date(endDate passed in user question) RETURN o ...
6|Category of a product.|MATCH (p:Product {productId: productId passed in user question})-[:BELONGS_TO_CATEGORY]->(c:Category) RETURN c.categoryName ...
7|Inventory levels for a product at a store. |MATCH (s:Store {storeName: storeName passed in user question})-[:HAS_INVENTORY]->(inv:Inventory)-[:TRACKS_PRODUCT]->(p:Product {productId: productId passed in user question}) RETURN inv.initialStock, inv.finalStock ... 
8|Product returns for a store. |MATCH (s:Store {storeName: storeName passed in user question})<-[:PROCESSED_AT]-(r:Return) RETURN r ...
9|Supplier for a given product. |MATCH (sup:Supplier)-[:SUPPLIES]->(p:Product {productId: productId passed in user question}) RETURN sup.name ...
10|Orders where a promotion code was applied. |MATCH (promo:Promotion {promoId: promoId passed in user question})<-[:HAS_PROMOTION]-(o:Order) RETURN o ...
11|Customers of a age group who ordered from a store. |MATCH (c:Customer {ageGroup: ageGroup passed in user question})<-[:orderedBy]-(:Order)-[:PLACED_AT]->(s:Store {storeName: storeName passed in user question}) RETURN DISTINCT c ...
12|List products that were included in orders using a promotion ID. |MATCH (promo:Promotion {promoId: promoId passed in user question})<-[:HAS_PROMOTION]-(o:Order)-[:includesOrderLine]->()-[:refersToProduct]->(p:Product) RETURN DISTINCT p ...
13|Show product categories provided by a named supplier. |MATCH (sup:Supplier {name: supplierName passed in user question})-[:SUPPLIES]->(:Product)-[:BELONGS_TO_CATEGORY]->(cat:Category) RETURN DISTINCT cat.categoryName ...
14|What are the return reasons for orders placed during a season? |MATCH (ret:Return)-[:RETURNED_FROM]->(o:Order: {season: season passed in user question}) RETURN DISTINCT ret.reason, count(*) ... 
15|Identify customers belonging to a certain loyalty tier and living in a location type. |MATCH (c:Customer {loyaltyTier: loyaltyTier passed in user question, location: locationType passed in user question}) RETURN c.customerId, c.name ...
16|Pattern to count the number of orders each customer placed at a store. |MATCH (c:Customer)<-[:orderedBy]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: storeName passed in user question}) WITH c, count(o) AS orderCount RETURN c.customerId, orderCount ... 
